"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.146357038E2,6.500064987E1,2.548458138E1,1.820297345E1,1.541512609E0,1.768704071E2,4.000000000E0,3.000000000E0
1.156498058E2,6.500063425E1,2.548458752E1,1.791394918E1,1.537275910E0,1.755815887E2,4.000000000E0,3.000000000E0
1.166447704E2,6.500061876E1,2.548459487E1,1.752244503E1,1.519798279E0,1.714541931E2,4.000000000E0,3.000000000E0
1.176408789E2,6.500060787E1,2.548460253E1,1.748558887E1,1.501727819E0,1.711406555E2,4.000000000E0,3.000000000E0
1.186352040E2,6.500059525E1,2.548460842E1,1.734230025E1,1.485635161E0,1.722844696E2,4.000000000E0,3.000000000E0
1.196434297E2,6.500058017E1,2.548461935E1,1.706073485E1,1.472647667E0,1.729229126E2,4.000000000E0,3.000000000E0
1.206142371E2,6.500056512E1,2.548462721E1,1.695570873E1,1.476457953E0,1.727667236E2,4.000000000E0,3.000000000E0
1.216453178E2,6.500054534E1,2.548463859E1,1.677320167E1,1.483924985E0,1.742874603E2,4.000000000E0,3.000000000E0
1.226507345E2,6.500052961E1,2.548465318E1,1.685230380E1,1.500934243E0,1.728448029E2,4.000000000E0,3.000000000E0
1.236358002E2,6.500051264E1,2.548465926E1,1.678400794E1,1.518128157E0,1.702466888E2,4.000000000E0,3.000000000E0
1.246425821E2,6.500049725E1,2.548466882E1,1.673789125E1,1.515951276E0,1.684699554E2,4.000000000E0,3.000000000E0
1.256487717E2,6.500048406E1,2.548468570E1,1.676938284E1,1.498127460E0,1.677888641E2,4.000000000E0,3.000000000E0
1.266378956E2,6.500046931E1,2.548470820E1,1.673228242E1,1.510605454E0,1.607497253E2,4.000000000E0,3.000000000E0
1.276477640E2,6.500045413E1,2.548471757E1,1.683849153E1,1.520885944E0,1.653292847E2,4.000000000E0,3.000000000E0
1.286425030E2,6.500043938E1,2.548473376E1,1.679670223E1,1.522590280E0,1.645358582E2,4.000000000E0,3.000000000E0
1.296445906E2,6.500042547E1,2.548474577E1,1.680932837E1,1.523762584E0,1.662129059E2,4.000000000E0,3.000000000E0
1.306434724E2,6.500041169E1,2.548475247E1,1.667658266E1,1.516913295E0,1.640115356E2,4.000000000E0,3.000000000E0
1.316471006E2,6.500039961E1,2.548476278E1,1.667562270E1,1.509477019E0,1.662303467E2,4.000000000E0,3.000000000E0
1.326297268E2,6.500038271E1,2.548476546E1,1.562154870E1,1.512856841E0,1.639445648E2,4.000000000E0,3.000000000E0
1.336495449E2,6.500036760E1,2.548477593E1,1.562722100E1,1.504839301E0,1.621244812E2,4.000000000E0,3.000000000E0
1.346348755E2,6.500035167E1,2.548478969E1,1.624647000E1,1.519179344E0,1.615619812E2,4.000000000E0,3.000000000E0
1.356310603E2,6.500033891E1,2.548480148E1,1.618405576E1,1.549751282E0,1.619787140E2,4.000000000E0,3.000000000E0
1.366480709E2,6.500032126E1,2.548479837E1,1.597115614E1,1.580138445E0,1.801382446E2,4.000000000E0,3.000000000E0
1.376477405E2,6.500030640E1,2.548478547E1,1.581912626E1,1.584698558E0,1.764911957E2,4.000000000E0,3.000000000E0
1.386340846E2,6.500029347E1,2.548479360E1,1.650316336E1,1.583415866E0,1.611896057E2,3.000000000E0,3.000000000E0
1.396337192E2,6.500027861E1,2.548480385E1,1.647193039E1,1.580612659E0,1.609109192E2,3.000000000E0,3.000000000E0
