"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
3.507384263E0,-1.099317551E1,6.545741081E0,1.085826492E1
3.517384963E0,-1.057751560E1,7.601251125E0,1.048348045E1
3.527384996E0,-7.105855465E0,1.025264454E1,4.419880867E0
3.537385362E0,-1.269015408E1,1.233399868E1,7.444658279E0
3.547385362E0,-8.407473564E0,1.216741943E1,1.211246490E1
3.557385362E0,-1.036050224E1,9.994070053E0,6.661714077E0
3.567386028E0,-1.132423401E1,9.650728226E0,5.554282665E0
3.577385994E0,-8.544690132E0,5.540552616E0,3.234602690E0
3.587386027E0,-7.572989464E0,3.675253391E0,2.524045944E0
3.597386727E0,-7.870388031E0,4.826906681E0,1.870113850E0
3.607387427E0,-7.774189949E0,3.847357273E0,3.823681593E0
3.617387393E0,-5.140810966E0,2.127967834E0,6.608355045E0
3.627387393E0,-2.958525181E0,1.550981998E0,8.221614838E0
3.637387426E0,-2.800154209E0,2.091670036E0,8.274673462E0
3.647387426E0,-4.132825851E0,2.885771275E0,7.678341866E0
3.657387426E0,-5.614010811E0,4.385388851E0,6.750814438E0
3.667387392E0,-6.013893127E0,5.105354309E0,5.780580997E0
3.677387425E0,-7.241707325E0,5.700808525E0,5.597720623E0
3.687387425E0,-7.994099617E0,7.287779331E0,4.549448013E0
3.697387425E0,-7.385266781E0,7.150481701E0,4.098173141E0
3.707387425E0,-4.710277081E0,6.387141228E0,4.574939728E0
3.717387425E0,-4.697022915E0,6.965810299E0,5.103315830E0
3.727387391E0,-5.170142174E0,7.782494545E0,5.370263577E0
3.737388124E0,-4.440258503E0,7.772269726E0,6.269922256E0
3.747388157E0,-4.554967880E0,6.777984619E0,7.331246853E0
3.757388857E0,-3.952985287E0,6.265700817E0,7.416691303E0
3.767388857E0,-5.847581387E0,4.828556538E0,7.479658604E0
3.777388823E0,-6.849509239E0,5.384232998E0,7.037015915E0
3.787388856E0,-8.714190483E0,5.663812160E0,5.783191681E0
3.797388856E0,-1.056691074E1,7.161814213E0,5.899683952E0
3.807388856E0,-1.275339699E1,6.897089958E0,5.048197746E0
3.817388822E0,-1.513610172E1,6.048578262E0,4.548100471E0
3.827388788E0,-1.647923470E1,5.795451641E0,3.401714325E0
3.837388821E0,-1.919747162E1,5.943042755E0,3.943467379E0
3.847388821E0,-1.951479912E1,5.436381340E0,3.382194042E0
3.857388821E0,-1.828411674E1,4.412216663E0,5.306444168E0
3.867388821E0,-1.583272171E1,3.097257376E0,7.725259781E0
3.877388821E0,-1.393975353E1,2.271279097E0,8.981356621E0
3.887388787E0,-1.262374306E1,1.516288280E0,9.376101494E0
3.897388820E0,-1.360647869E1,-8.418717384E-1,1.358756447E1
3.907388820E0,-1.404189205E1,-2.218967915E0,1.382580185E1
3.917388820E0,-1.564863777E1,7.648963928E-1,1.508730507E1
3.927388786E0,-1.701048088E1,-1.607998371E0,1.446364594E1
3.937388786E0,-1.432175446E1,-3.121619225E0,1.271180153E1
3.947388819E0,-1.439449406E1,-5.519052982E0,1.327167702E1
3.957388819E0,-1.316626263E1,-6.919103622E0,1.215960312E1
3.967388819E0,-1.182302475E1,-8.408544540E0,1.042168999E1
3.977388785E0,-7.839035511E0,-5.161025524E0,9.302406311E0
3.987388818E0,-6.580177307E0,-2.462469578E0,7.409190655E0
3.997388851E0,-6.407309532E0,-9.382419586E-1,4.006461620E0
4.007388851E0,-7.081650734E0,1.112937927E-1,2.838884354E0
4.017388851E0,-7.659617901E0,-1.574110985E-1,2.064555168E0
4.027388851E0,-6.752166271E0,1.141222477E0,3.637024403E0
4.037388817E0,-6.613779545E0,8.187508583E-1,4.894749641E0
4.047388817E0,-6.284338951E0,-5.167069435E-1,5.782274723E0
4.057388850E0,-3.148642540E0,-1.330751896E0,7.640047550E0
4.067388850E0,-2.719578266E0,-3.769087791E-1,8.091528893E0
4.077388850E0,-3.917978764E0,-9.035272598E-1,1.104588318E1
4.087388816E0,-4.669136047E0,-8.798570633E-1,1.294078732E1
4.097388849E0,-3.874271393E0,-9.156613350E-1,1.498978615E1
4.107388882E0,-2.849252701E0,-1.727285624E0,1.517288589E1
4.117388882E0,-1.990766525E0,-2.131619453E0,1.378824806E1
4.127388882E0,-1.291170716E0,-2.184910774E0,1.214805126E1
4.137388848E0,-2.421746492E0,-1.865113974E0,1.177106571E1
